Cidade;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais
Itaperuna (RJ);101041;5455;5842;5788;6058;7003;6990;7146;7432;8339;7121;6926;6899;5942;4889;3628;2504;1575;939;426;117;22;48726;2765;3015;3019;3131;3525;3491;3506;3559;4006;3363;3305;3177;2756;2225;1603;1065;679;357;147;29;3;52315;2690;2827;2769;2927;3478;3499;3640;3873;4333;3758;3621;3722;3186;2664;2025;1439;896;582;279;88;19
Itatiaia (RJ);30908;1841;2049;1912;1987;2294;2216;2155;2259;2560;2194;2130;2031;1762;1298;973;586;391;181;60;21;8;14962;935;980;1005;1020;1123;1085;1038;1099;1191;1097;1021;958;813;604;450;265;184;62;28;3;1;15946;906;1069;907;967;1171;1131;1117;1160;1369;1097;1109;1073;949;694;523;321;207;119;32;18;7
Japeri (RJ);96289;6024;7097;6650;7313;8517;7899;7531;7725;8289;6673;5970;4942;4004;3029;2136;1256;699;364;123;41;7;49450;3025;3544;3370;3818;4761;4379;4122;3944;4353;3360;3049;2415;1945;1389;995;544;270;121;35;10;1;46839;2999;3553;3280;3495;3756;3520;3409;3781;3936;3313;2921;2527;2059;1640;1141;712;429;243;88;31;6
Laje do Muriaé (RJ);7336;425;427;415;487;554;538;425;469;515;510;503;535;473;382;264;195;109;68;35;6;1;3604;221;220;211;247;280;267;217;225;233;237;254;261;222;190;128;97;47;34;11;2;-;3732;204;207;204;240;274;271;208;244;282;273;249;274;251;192;136;98;62;34;24;4;1
Macaé (RJ);246391;16251;18653;17051;16527;17517;18871;20228;22726;22086;16674;14182;13127;11414;8300;5506;3393;2096;1149;482;133;25;119123;8326;9514;8653;8345;8361;8975;9505;11012;10888;8003;6785;6183;5388;3849;2470;1440;838;392;154;35;7;127268;7925;9139;8398;8182;9156;9896;10723;11714;11198;8671;7397;6944;6026;4451;3036;1953;1258;757;328;98;18
Macuco (RJ);5415;280;361;389;419;416;310;333;373;453;395;378;311;272;229;218;143;68;41;20;3;3;2624;132;209;205;216;215;152;156;167;208;201;174;141;132;101;88;67;35;17;4;1;3;2791;148;152;184;203;201;158;177;206;245;194;204;170;140;128;130;76;33;24;16;2;-
Magé (RJ);228127;14589;16112;15571;16486;17082;16911;16169;16384;17313;15512;15234;13852;11895;9556;6893;4191;2533;1219;490;115;20;110374;7416;8210;7863;8394;8695;8287;7768;7868;8322;7337;7337;6520;5451;4361;3087;1806;1007;435;168;38;4;117753;7173;7902;7708;8092;8387;8624;8401;8516;8991;8175;7897;7332;6444;5195;3806;2385;1526;784;322;77;16
Mangaratiba (RJ);41220;2209;2563;2532;2633;2716;2647;2888;2910;3194;2954;2951;2890;2638;2160;1518;844;579;263;93;37;1;20257;1100;1353;1347;1342;1376;1294;1396;1363;1572;1435;1402;1355;1300;1061;762;405;268;97;18;10;1;20963;1109;1210;1185;1291;1340;1353;1492;1547;1622;1519;1549;1535;1338;1099;756;439;311;166;75;27;-
Maricá (RJ);197277;10412;12666;12235;12522;12808;12510;12772;14668;16520;14710;14168;13371;12296;10154;6921;4082;2403;1318;565;153;23;94835;5251;6534;6371;6460;6512;6036;6025;6785;7697;6905;6717;6383;5827;4688;3189;1809;970;463;167;41;5;102442;5161;6132;5864;6062;6296;6474;6747;7883;8823;7805;7451;6988;6469;5466;3732;2273;1433;855;398;112;18
Mendes (RJ);17502;921;994;967;967;1107;1103;1122;1131;1291;1256;1243;1365;1298;1002;716;431;296;176;87;23;6;8243;442;504;464;515;564;539;512;540;602;571;575;633;618;423;342;181;121;61;25;9;2;9259;479;490;503;452;543;564;610;591;689;685;668;732;680;579;374;250;175;115;62;14;4
Mesquita (RJ);167127;9510;11062;10472;11028;12755;12552;11858;12082;13402;11639;11210;10406;9375;7537;5350;3285;2062;1008;391;124;19;78328;4914;5617;5468;5562;6289;5972;5540;5578;6239;5446;5162;4671;4077;3168;2234;1202;707;335;113;30;4;88799;4596;5445;5004;5466;6466;6580;6318;6504;7163;6193;6048;5735;5298;4369;3116;2083;1355;673;278;94;15
Miguel Pereira (RJ);26582;1315;1474;1456;1538;1695;1649;1657;1719;1955;1783;1854;1932;1866;1527;1255;871;520;321;137;50;8;12515;657;755;752;802;888;805;772;756;936;844;868;885;819;673;533;382;214;113;46;14;1;14067;658;719;704;736;807;844;885;963;1019;939;986;1047;1047;854;722;489;306;208;91;36;7
Miracema (RJ);26881;1671;1586;1747;1810;1922;1843;1874;1748;2035;1752;1784;1784;1548;1283;939;655;472;283;109;30;6;12947;853;817;879;896;959;912;932;831;971;847;858;825;730;603;433;253;199;107;35;7;-;13934;818;769;868;914;963;931;942;917;1064;905;926;959;818;680;506;402;273;176;74;23;6
Natividade (RJ);15074;822;928;872;944;1058;1005;937;1036;1139;935;1036;1048;895;843;608;400;261;190;83;25;9;7311;418;467;437;501;525;497;467;502;543;436;504;499;423;393;297;171;122;65;34;8;2;7763;404;461;435;443;533;508;470;534;596;499;532;549;472;450;311;229;139;125;49;17;7
Nilópolis (RJ);146774;7511;9071;7895;8983;9927;10046;10580;11225;11743;10359;10176;9716;9257;7441;5565;3369;2170;1126;480;121;13;68474;3663;4646;3991;4616;4927;4755;5114;5317;5620;4758;4756;4328;4136;3127;2237;1237;749;350;124;22;1;78300;3848;4425;3904;4367;5000;5291;5466;5908;6123;5601;5420;5388;5121;4314;3328;2132;1421;776;356;99;12
Niterói (RJ);481749;21643;25012;23616;25087;31177;32996;34033;35964;39576;33282;31826;32716;31793;27087;21056;14783;10057;6098;2954;831;162;220680;10994;12446;12124;12727;15199;15820;16219;16844;18595;15255;14350;14603;13754;11349;8511;5535;3534;1892;745;157;27;261069;10649;12566;11492;12360;15978;17176;17814;19120;20981;18027;17476;18113;18039;15738;12545;9248;6523;4206;2209;674;135
Nova Friburgo (RJ);189939;9321;10485;10758;11293;12684;12643;13160;14082;15171;13404;13347;13164;12130;9772;7589;4943;3234;1740;799;189;31;90786;4734;5401;5481;5749;6540;6266;6553;6603;7314;6400;6179;6173;5455;4332;3269;2117;1289;610;257;59;5;99153;4587;5084;5277;5544;6144;6377;6607;7479;7857;7004;7168;6991;6675;5440;4320;2826;1945;1130;542;130;26
Nova Iguaçu (RJ);785867;47372;54146;51377;54253;61418;59815;56739;57120;61794;53411;53130;47973;42007;32611;23239;14149;8567;4421;1801;456;68;373517;23867;27746;26388;27712;30499;28732;27055;26685;29265;25130;24775;21970;18767;14269;9804;5688;3066;1456;502;117;24;412350;23505;26400;24989;26541;30919;31083;29684;30435;32529;28281;28355;26003;23240;18342;13435;8461;5501;2965;1299;339;44
Paracambi (RJ);41375;2152;2419;2362;2454;2925;2975;3037;3140;3257;2856;3025;3016;2494;1947;1395;880;585;314;109;25;8;19925;1093;1195;1212;1248;1457;1457;1466;1528;1597;1367;1447;1417;1137;907;623;377;228;126;37;5;1;21450;1059;1224;1150;1206;1468;1518;1571;1612;1660;1489;1578;1599;1357;1040;772;503;357;188;72;20;7
